,Season and Name,Nominal damage (Billions USD),Areas affected,ID,Date,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure
74,1995 Opal,$4.7,Guatemala Yucatán Peninsula Eastern United States,AL171995,19951004,L, HU,30.3N,87.1W,100,942
75,2005 Dennis,$4.0,Greater Antilles Southeastern United States,AL042005,20050704,L, TD,12.1N,61.6W,30,1010
76,2005 Dennis,$4.0,Greater Antilles Southeastern United States,AL042005,20050708,L, HU,19.9N,77.6W,120,956
77,2005 Dennis,$4.0,Greater Antilles Southeastern United States,AL042005,20050708,L, HU,22.1N,80.7W,120,941
78,2005 Dennis,$4.0,Greater Antilles Southeastern United States,AL042005,20050710,L, HU,30.4N,87.1W,105,946
79,2005 Stan,$3.9,Mexico Central America,AL202005,20051002,L, TS,19.6N,87.5W,35,1003
80,2005 Stan,$3.9,Mexico Central America,AL202005,20051004,L, HU,18.6N,94.9W,70,977
81,2010 Karl,$3.9,Mexico Central America,AL132010,20100915,L, TS,18.5N,87.8W,55,991
82,2010 Karl,$3.9,Mexico Central America,AL132010,20100917,L, HU,19.3N,96.2W,100,976
83,1995 Luis,$3.3,Leeward Islands Puerto Rico Bermuda,AL131995,19950905,L, HU,17.5N,61.7W,115,945
84,2012 Isaac,$3.1,The Caribbean Eastern United States,AL092012,20120825,L, TS,18.3N,72.7W,55,991
85,2012 Isaac,$3.1,The Caribbean Eastern United States,AL092012,20120825,L, TS,20.1N,74.5W,50,997
86,2012 Isaac,$3.1,The Caribbean Eastern United States,AL092012,20120829,L, HU,28.9N,89.4W,70,967
87,2012 Isaac,$3.1,The Caribbean Eastern United States,AL092012,20120829,L, HU,29.2N,90.2W,70,966
88,1983 Alicia,$3.0,East Texas Louisiana,AL031983,19830818,L, HU,29.1N,95.1W,100,962
89,1988 Gilbert,$3.0,Venezuela Central America Hispaniola Mexico,AL081988,19880912,L, HU,17.8N,76.8W,115,960
90,1988 Gilbert,$3.0,Venezuela Central America Hispaniola Mexico,AL081988,19880914,L, HU,20.7N,87.0W,140,900
91,1988 Gilbert,$3.0,Venezuela Central America Hispaniola Mexico,AL081988,19880916,L, HU,24.2N,97.8W,110,955
92,2011 Lee,$2.8,Louisiana Mississippi,AL132011,20110904,L, SS,29.6N,92.1W,40,986
93,1995 Marilyn,$2.5,The Caribbean Bermuda,AL151995,19950914,L, HU,15.5N,61.3W,70,984
94,2001 Michelle,$2.4,Central America Jamaica Cuba The Bahamas,AL152001,20011104,L, HU,21.5N,81.8W,120,949
95,2001 Michelle,$2.4,Central America Jamaica Cuba The Bahamas,AL152001,20011104,L, HU,22.1N,81.2W,115,950
96,2001 Michelle,$2.4,Central America Jamaica Cuba The Bahamas,AL152001,20011105,L, HU,24.3N,78.0W,80,974
97,2001 Michelle,$2.4,Central America Jamaica Cuba The Bahamas,AL152001,20011105,L, HU,25.4N,76.4W,75,980
98,1988 Joan,$2.0,Lesser Antilles Colombia Venezuela Central America,AL111988,19881015,L, TS,12.1N,61.8W,45,1003
99,1988 Joan,$2.0,Lesser Antilles Colombia Venezuela Central America,AL111988,19881017,L, TS,12.0N,71.2W,55,997
100,1988 Joan,$2.0,Lesser Antilles Colombia Venezuela Central America,AL111988,19881022,L, HU,11.9N,83.7W,125,932
101,2007 Dean,$1.7,The Caribbean Central America,AL042007,20070821,L, HU,18.7N,87.7W,150,905
102,2007 Dean,$1.7,The Caribbean Central America,AL042007,20070822,L, HU,20.5N,97.0W,85,974
103,2008 Dolly,$1.6,Cayman Islands Mexico Southwestern United States,AL042008,20080721,L, TS,20.8N,87.0W,45,1007
104,2008 Dolly,$1.6,Cayman Islands Mexico Southwestern United States,AL042008,20080723,L, HU,26.4N,97.2W,75,967
105,2008 Dolly,$1.6,Cayman Islands Mexico Southwestern United States,AL042008,20080723,L, HU,26.4N,97.4W,70,967
106,2010 Alex,$1.5,Central America Greater Antilles Texas,AL012010,20100627,L, TS,17.5N,88.2W,55,995
107,2010 Alex,$1.5,Central America Greater Antilles Texas,AL012010,20100701,L, HU,24.2N,97.7W,95,946
108,1985 Juan,$1.5,United States Gulf Coast,AL121985,19851029,L, HU,29.5N,91.4W,65,974
109,1991 Bob,$1.5,United States East Coast Canada,AL031991,19910819,L, HU,41.2N,71.6W,90,962
110,1991 Bob,$1.5,United States East Coast Canada,AL031991,19910819,L, HU,41.4N,71.4W,85,964
111,1991 Bob,$1.5,United States East Coast Canada,AL031991,19910820,L, TS,44.1N,69.1W,60,981
112,1995 Roxanne,$1.5,Mexico,AL191995,19951011,L, HU,20.0N,87.6W,100,958
113,2013 Ingrid,$1.5,Mexico,AL102013,20130916,L, TS,23.7N,97.7W,55,991
114,1969 Camille,$1.4,Mississippi Louisiana Alabama Virginia Cuba,AL091969,19690815,L, HU,21.9N,84.3W,95,-999
115,1969 Camille,$1.4,Mississippi Louisiana Alabama Virginia Cuba,AL091969,19690818,L, HU,30.3N,89.4W,150,900
116,1985 Elena,$1.3,Cuba United States Gulf Coast,AL051985,19850902,L, HU,30.4N,89.2W,100,959
117,2002 Isidore,$1.3,Cuba Yucatán Peninsula Louisiana,AL102002,20020920,L, HU,22.0N,84.1W,75,964
118,2002 Isidore,$1.3,Cuba Yucatán Peninsula Louisiana,AL102002,20020922,L, HU,21.3N,89.3W,110,936
119,2002 Isidore,$1.3,Cuba Yucatán Peninsula Louisiana,AL102002,20020926,L, TS,29.1N,90.3W,55,984
120,2002 Lili,$1.2,Lesser Antilles Greater Antilles Gulf Coast of the United States,AL132002,20020930,L, HU,19.7N,79.8W,65,986
121,2002 Lili,$1.2,Lesser Antilles Greater Antilles Gulf Coast of the United States,AL132002,20021001,L, HU,21.3N,83.0W,90,971
122,2002 Lili,$1.2,Lesser Antilles Greater Antilles Gulf Coast of the United States,AL132002,20021001,L, HU,22.1N,84.0W,90,971
123,2002 Lili,$1.2,Lesser Antilles Greater Antilles Gulf Coast of the United States,AL132002,20021003,L, HU,29.5N,92.2W,80,963
124,1994 Alberto,$1.0,Southeastern United States,AL011994,19940703,L, TS,30.4N,86.5W,55,993
125,1998 Bonnie,$1.0,Lesser Antilles East Coast of the United States,AL021998,19980827,L, HU,34.4N,77.7W,95,964
